commodity,msha_name,series,year,quarter,units,production,region,datastream price,bloomberg price,bloomberg * 100
raw steel,Iron Ore,USSTRIP,2009,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2010,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2010,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2010,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2010,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2011,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2011,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2011,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2011,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2012,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2012,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2012,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2012,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2013,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2013,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2013,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2013,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2014,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2014,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2014,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2014,4,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2015,1,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2015,2,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
raw steel,Iron Ore,USSTRIP,2015,3,"(THOUS NET TONS) Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2001,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2001,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2001,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2001,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2002,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2002,2,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2002,3,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2002,4,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2003,1,"Volumes, not seasonally adjusted",,US,,,
platinum,Platinum Group Ore,USCPTSMY,2003,2,"Volumes, not seasonally adjusted",,US,,,
