commodity,msha_name,series,year,quarter,units,price_last
nickel,Nickel Ore,MBNIUSMP,2010,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2011,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2011,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2011,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2011,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2012,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2012,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2012,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2012,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2013,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2013,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2013,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2013,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2014,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2014,2,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2014,3,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2014,4,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2015,1,$cents/lb,
nickel,Nickel Ore,MBNIUSMP,2015,2,$cents/lb,
tin,Tin Ore,MBTNUSFP,1997,1,$/lb,
tin,Tin Ore,MBTNUSFP,1997,2,$/lb,
tin,Tin Ore,MBTNUSFP,1997,3,$/lb,
tin,Tin Ore,MBTNUSFP,1997,4,$/lb,
tin,Tin Ore,MBTNUSFP,1998,1,$/lb,
tin,Tin Ore,MBTNUSFP,1998,2,$/lb,
tin,Tin Ore,MBTNUSFP,1998,3,$/lb,
tin,Tin Ore,MBTNUSFP,1998,4,$/lb,
tin,Tin Ore,MBTNUSFP,1999,1,$/lb,
tin,Tin Ore,MBTNUSFP,1999,2,$/lb,
tin,Tin Ore,MBTNUSFP,1999,3,$/lb,
tin,Tin Ore,MBTNUSFP,1999,4,$/lb,
tin,Tin Ore,MBTNUSFP,2000,1,$/lb,
